Element	Gene	Ensembl	Element_type	Category	MoF	Tissue
gc19_pc.cds::gencode::ANK3::ENSG00000151150.16	ANK3	ENSG00000151150.16	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;PANCANCER;Skin-Melanoma;Uterus-AdenoCA
gc19_pc.cds::gencode::APAF1::ENSG00000120868.9	APAF1	ENSG00000120868.9	cds	prior_unique	LoF	Head-SCC
gc19_pc.cds::gencode::AQR::ENSG00000021776.6	AQR	ENSG00000021776.6	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::ARAF::ENSG00000078061.8	ARAF	ENSG00000078061.8	cds	prior_unique	Act	Lung-AdenoCA
gc19_pc.cds::gencode::ARAP3::ENSG00000120318.11	ARAP3	ENSG00000120318.11	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::AR::ENSG00000169083.11	AR	ENSG00000169083.11	cds	prior_unique	Act	Prost-AdenoCA
gc19_pc.cds::gencode::ARFGAP1::ENSG00000101199.8	ARFGAP1	ENSG00000101199.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::ARFGAP3::ENSG00000242247.6	ARFGAP3	ENSG00000242247.6	cds	prior_unique	LoF	Prost-AdenoCA
gc19_pc.cds::gencode::ARFGEF1::ENSG00000066777.4	ARFGEF1	ENSG00000066777.4	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::ARFGEF2::ENSG00000124198.8	ARFGEF2	ENSG00000124198.8	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::ARHGAP26::ENSG00000145819.11	ARHGAP26	ENSG00000145819.11	cds	prior_unique	Act	Eso-AdenoCa;Myeloid-AML;Myeloid-MDS;PANCANCER
gc19_pc.cds::gencode::ARHGAP29::ENSG00000137962.8	ARHGAP29	ENSG00000137962.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::ARHGEF2::ENSG00000116584.13	ARHGEF2	ENSG00000116584.13	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::ARHGEF6::ENSG00000129675.11	ARHGEF6	ENSG00000129675.11	cds	prior_unique	LoF	PANCANCER;Skin-Melanoma;Uterus-AdenoCA
gc19_pc.cds::gencode::ARID1B::ENSG00000049618.17	ARID1B	ENSG00000049618.17	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;CNS-Medullo;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::ARID4A::ENSG00000032219.14	ARID4A	ENSG00000032219.14	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::ARID4B::ENSG00000054267.16	ARID4B	ENSG00000054267.16	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::ARID5B::ENSG00000150347.10	ARID5B	ENSG00000150347.10	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::ARNTL::ENSG00000133794.13	ARNTL	ENSG00000133794.13	cds	prior_unique	LoF	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::ASH1L::ENSG00000116539.6	ASH1L	ENSG00000116539.6	cds	prior_unique	Act	Liver-HCC;PANCANCER
gc19_pc.cds::gencode::ASPM::ENSG00000066279.12	ASPM	ENSG00000066279.12	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::ASXL1::ENSG00000171456.12	ASXL1	ENSG00000171456.12	cds	prior_unique	LoF	Lymph-CLL;Myeloid-AML;Myeloid-MDS;PANCANCER
gc19_pc.cds::gencode::ATF1::ENSG00000123268.4	ATF1	ENSG00000123268.4	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ATF2::ENSG00000115966.12	ATF2	ENSG00000115966.12	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::ATIC::ENSG00000138363.10	ATIC	ENSG00000138363.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ATP1A1::ENSG00000163399.11	ATP1A1	ENSG00000163399.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::ATP6AP2::ENSG00000182220.9	ATP6AP2	ENSG00000182220.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::ATR::ENSG00000175054.10	ATR	ENSG00000175054.10	cds	prior_unique	LoF	CNS-Oligo;Eso-AdenoCa;PANCANCER;Ovary-AdenoCA;Uterus-AdenoCA
gc19_pc.cds::gencode::AXIN2::ENSG00000168646.8	AXIN2	ENSG00000168646.8	cds	prior_unique	LoF	ColoRect-AdenoCA;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::BARD1::ENSG00000138376.6	BARD1	ENSG00000138376.6	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::BAZ2B::ENSG00000123636.13	BAZ2B	ENSG00000123636.13	cds	prior_unique	Act	Lung-AdenoCA;PANCANCER;Skin-Melanoma;Uterus-AdenoCA
gc19_pc.cds::gencode::BCL10::ENSG00000142867.8	BCL10	ENSG00000142867.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::BCL11A::ENSG00000119866.16	BCL11A	ENSG00000119866.16	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::BCL6::ENSG00000113916.13	BCL6	ENSG00000113916.13	cds	prior_unique	Act	Lymph-BNHL;Lymph-CLL
gc19_pc.cds::gencode::BCLAF1::ENSG00000029363.11	BCLAF1	ENSG00000029363.11	cds	prior_unique	Act	CNS-Medullo;Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::BIRC3::ENSG00000023445.9	BIRC3	ENSG00000023445.9	cds	prior_unique	Act	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::BLM::ENSG00000197299.6	BLM	ENSG00000197299.6	cds	prior_unique	LoF	Eso-AdenoCa;Liver-HCC;Lymph-CLL;Lymph-NOS;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::BMPR1A::ENSG00000107779.7	BMPR1A	ENSG00000107779.7	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::BMPR2::ENSG00000204217.8	BMPR2	ENSG00000204217.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::BPTF::ENSG00000171634.12	BPTF	ENSG00000171634.12	cds	prior_unique	Act	Eso-AdenoCa;Liver-HCC;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::BRCA1::ENSG00000012048.15	BRCA1	ENSG00000012048.15	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Cervix-AdenoCA;Cervix-SCC;PANCANCER;Ovary-AdenoCA;Prost-AdenoCA
gc19_pc.cds::gencode::BRCA2::ENSG00000139618.10	BRCA2	ENSG00000139618.10	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;PANCANCER;Ovary-AdenoCA;Prost-AdenoCA
gc19_pc.cds::gencode::BRD2::ENSG00000204256.8	BRD2	ENSG00000204256.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::BRIP1::ENSG00000136492.4	BRIP1	ENSG00000136492.4	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::BRWD1::ENSG00000185658.9	BRWD1	ENSG00000185658.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::BTK::ENSG00000010671.11	BTK	ENSG00000010671.11	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Lymph-CLL
gc19_pc.cds::gencode::BUB1B::ENSG00000156970.8	BUB1B	ENSG00000156970.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::CAD::ENSG00000084774.9	CAD	ENSG00000084774.9	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;PANCANCER;Stomach-AdenoCA
gc19_pc.cds::gencode::CALR::ENSG00000179218.9	CALR	ENSG00000179218.9	cds	prior_unique	ambiguous	Myeloid-MDS;PANCANCER
gc19_pc.cds::gencode::CAPN7::ENSG00000131375.5	CAPN7	ENSG00000131375.5	cds	prior_unique	ambiguous	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::CARM1::ENSG00000142453.7	CARM1	ENSG00000142453.7	cds	prior_unique	Act	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::CASP10::ENSG00000003400.10	CASP10	ENSG00000003400.10	cds	prior_unique	LoF	Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::CASP1::ENSG00000137752.18	CASP1	ENSG00000137752.18	cds	prior_unique	LoF	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::CAT::ENSG00000121691.4	CAT	ENSG00000121691.4	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::CBLB::ENSG00000114423.14	CBLB	ENSG00000114423.14	cds	prior_unique	LoF	Myeloid-AML
gc19_pc.cds::gencode::CBLC::ENSG00000142273.6	CBLC	ENSG00000142273.6	cds	prior_unique	LoF	Myeloid-AML
gc19_pc.cds::gencode::CBL::ENSG00000110395.4	CBL	ENSG00000110395.4	cds	prior_unique	Act	Myeloid-AML;Myeloid-MDS;PANCANCER
gc19_pc.cds::gencode::CCAR1::ENSG00000060339.9	CCAR1	ENSG00000060339.9	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;CNS-Medullo;PANCANCER;Ovary-AdenoCA
gc19_pc.cds::gencode::CCND1::ENSG00000110092.3	CCND1	ENSG00000110092.3	cds	prior_unique	Act	Uterus-AdenoCA
gc19_pc.cds::gencode::CCT5::ENSG00000150753.7	CCT5	ENSG00000150753.7	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::CD36::ENSG00000135218.13	CD36	ENSG00000135218.13	cds	prior_unique	ambiguous	Lymph-CLL
gc19_pc.cds::gencode::CD70::ENSG00000125726.6	CD70	ENSG00000125726.6	cds	prior_unique	unknown	PANCANCER
gc19_pc.cds::gencode::CD79A::ENSG00000105369.5	CD79A	ENSG00000105369.5	cds	prior_unique	Act	Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::CD79B::ENSG00000007312.8	CD79B	ENSG00000007312.8	cds	prior_unique	Act	Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::CD99::ENSGR0000002586.13	CD99	ENSGR0000002586.13	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::CDC27::ENSG00000004897.7	CDC27	ENSG00000004897.7	cds	prior_unique	LoF	Prost-AdenoCA
gc19_pc.cds::gencode::CDC73::ENSG00000134371.9	CDC73	ENSG00000134371.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::CDK4::ENSG00000135446.12	CDK4	ENSG00000135446.12	cds	prior_unique	Act	Lymph-NOS;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::CDK6::ENSG00000105810.5	CDK6	ENSG00000105810.5	cds	prior_unique	Act	Lymph-NOS;PANCANCER
gc19_pc.cds::gencode::CDKN2B::ENSG00000147883.9	CDKN2B	ENSG00000147883.9	cds	prior_unique	LoF	CNS-Oligo;PANCANCER
gc19_pc.cds::gencode::CDKN2C::ENSG00000123080.6	CDKN2C	ENSG00000123080.6	cds	prior_unique	LoF	CNS-Oligo;PANCANCER
gc19_pc.cds::gencode::CEBPA::ENSG00000245848.2	CEBPA	ENSG00000245848.2	cds	prior_unique	ambiguous	Myeloid-AML;Myeloid-MDS
gc19_pc.cds::gencode::CEP290::ENSG00000198707.10	CEP290	ENSG00000198707.10	cds	prior_unique	LoF	Eso-AdenoCa;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::CHD1L::ENSG00000131778.13	CHD1L	ENSG00000131778.13	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::CHD2::ENSG00000173575.14	CHD2	ENSG00000173575.14	cds	prior_unique	LoF	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::CHD3::ENSG00000170004.12	CHD3	ENSG00000170004.12	cds	prior_unique	LoF	PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::CHD4::ENSG00000111642.10	CHD4	ENSG00000111642.10	cds	prior_unique	Act	ColoRect-AdenoCA;Eso-AdenoCa;PANCANCER;Ovary-AdenoCA;Uterus-AdenoCA
gc19_pc.cds::gencode::CHD6::ENSG00000124177.10	CHD6	ENSG00000124177.10	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::CHD8::ENSG00000100888.8	CHD8	ENSG00000100888.8	cds	prior_unique	LoF	CNS-GBM
gc19_pc.cds::gencode::CHD9::ENSG00000177200.11	CHD9	ENSG00000177200.11	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::CHEK2::ENSG00000183765.16	CHEK2	ENSG00000183765.16	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;PANCANCER;Panc-AdenoCA;Prost-AdenoCA
gc19_pc.cds::gencode::CIITA::ENSG00000179583.13	CIITA	ENSG00000179583.13	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::CLASP2::ENSG00000163539.11	CLASP2	ENSG00000163539.11	cds	prior_unique	LoF	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::CLCC1::ENSG00000121940.11	CLCC1	ENSG00000121940.11	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::CLCN2::ENSG00000114859.10	CLCN2	ENSG00000114859.10	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::CLOCK::ENSG00000134852.10	CLOCK	ENSG00000134852.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::CLSPN::ENSG00000092853.9	CLSPN	ENSG00000092853.9	cds	prior_unique	LoF	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::CLTC::ENSG00000141367.7	CLTC	ENSG00000141367.7	cds	prior_unique	Act	Eso-AdenoCa;Kidney-RCC;PANCANCER
gc19_pc.cds::gencode::CNOT1::ENSG00000125107.12	CNOT1	ENSG00000125107.12	cds	prior_unique	LoF	Eso-AdenoCa;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::CNOT3::ENSG00000088038.13	CNOT3	ENSG00000088038.13	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::CNOT4::ENSG00000080802.14	CNOT4	ENSG00000080802.14	cds	prior_unique	ambiguous	Lung-SCC;PANCANCER
gc19_pc.cds::gencode::CNTNAP1::ENSG00000108797.7	CNTNAP1	ENSG00000108797.7	cds	prior_unique	ambiguous	Prost-AdenoCA
gc19_pc.cds::gencode::COL1A1::ENSG00000108821.9	COL1A1	ENSG00000108821.9	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::COPS2::ENSG00000166200.10	COPS2	ENSG00000166200.10	cds	prior_unique	LoF	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::COPS3::ENSG00000141030.8	COPS3	ENSG00000141030.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::COPS4::ENSG00000138663.4	COPS4	ENSG00000138663.4	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::COPS5::ENSG00000121022.9	COPS5	ENSG00000121022.9	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::COPS6::ENSG00000168090.5	COPS6	ENSG00000168090.5	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::CR1::ENSG00000203710.6	CR1	ENSG00000203710.6	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::CRBN::ENSG00000113851.9	CRBN	ENSG00000113851.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::CRLF2::ENSGR0000205755.6	CRLF2	ENSGR0000205755.6	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::CRNKL1::ENSG00000101343.10	CRNKL1	ENSG00000101343.10	cds	prior_unique	Act	Lung-AdenoCA
gc19_pc.cds::gencode::CRTC3::ENSG00000140577.11	CRTC3	ENSG00000140577.11	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::CSDE1::ENSG00000009307.11	CSDE1	ENSG00000009307.11	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::CSF1R::ENSG00000182578.9	CSF1R	ENSG00000182578.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::CSF3R::ENSG00000119535.13	CSF3R	ENSG00000119535.13	cds	prior_unique	Act	Lymph-NOS;Myeloid-AML;Myeloid-MDS;PANCANCER
gc19_pc.cds::gencode::CSNK1A1::ENSG00000113712.12	CSNK1A1	ENSG00000113712.12	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::CSNK1G3::ENSG00000151292.13	CSNK1G3	ENSG00000151292.13	cds	prior_unique	LoF	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::CSNK2A1::ENSG00000101266.12	CSNK2A1	ENSG00000101266.12	cds	prior_unique	LoF	Head-SCC
gc19_pc.cds::gencode::CTNND1::ENSG00000198561.8	CTNND1	ENSG00000198561.8	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::CTTN::ENSG00000085733.11	CTTN	ENSG00000085733.11	cds	prior_unique	Act	Lung-SCC
gc19_pc.cds::gencode::CUL1::ENSG00000055130.11	CUL1	ENSG00000055130.11	cds	prior_unique	LoF	Cervix-AdenoCA;Cervix-SCC;Head-SCC;PANCANCER
gc19_pc.cds::gencode::CUL2::ENSG00000108094.10	CUL2	ENSG00000108094.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::CUL3::ENSG00000036257.8	CUL3	ENSG00000036257.8	cds	prior_unique	LoF	Eso-AdenoCa;Head-SCC;Lung-AdenoCA;PANCANCER
gc19_pc.cds::gencode::CUL4A::ENSG00000139842.10	CUL4A	ENSG00000139842.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::CUX1::ENSG00000257923.5	CUX1	ENSG00000257923.5	cds	prior_unique	ambiguous	ColoRect-AdenoCA;Myeloid-AML;Myeloid-MDS;PANCANCER;Skin-Melanoma;Uterus-AdenoCA
gc19_pc.cds::gencode::CYLD::ENSG00000083799.13	CYLD	ENSG00000083799.13	cds	prior_unique	LoF	Head-SCC;PANCANCER
gc19_pc.cds::gencode::CYTH4::ENSG00000100055.16	CYTH4	ENSG00000100055.16	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::DCC::ENSG00000187323.7	DCC	ENSG00000187323.7	cds	prior_unique	LoF	ColoRect-AdenoCA;Eso-AdenoCa
gc19_pc.cds::gencode::DDB1::ENSG00000167986.9	DDB1	ENSG00000167986.9	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::DDB2::ENSG00000134574.7	DDB2	ENSG00000134574.7	cds	prior_unique	LoF	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::DDR2::ENSG00000162733.12	DDR2	ENSG00000162733.12	cds	prior_unique	Act	Lung-SCC;PANCANCER;Panc-AdenoCA
gc19_pc.cds::gencode::DDX5::ENSG00000108654.7	DDX5	ENSG00000108654.7	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::DEPDC1B::ENSG00000035499.8	DEPDC1B	ENSG00000035499.8	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::DHX15::ENSG00000109606.8	DHX15	ENSG00000109606.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::DHX35::ENSG00000101452.10	DHX35	ENSG00000101452.10	cds	prior_unique	Act	Uterus-AdenoCA
gc19_pc.cds::gencode::DHX9::ENSG00000135829.12	DHX9	ENSG00000135829.12	cds	prior_unique	Act	Lung-SCC
gc19_pc.cds::gencode::DICER1::ENSG00000100697.10	DICER1	ENSG00000100697.10	cds	prior_unique	LoF	PANCANCER;Thy-AdenoCA;Uterus-AdenoCA
gc19_pc.cds::gencode::DIS3::ENSG00000083520.10	DIS3	ENSG00000083520.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::DLC1::ENSG00000164741.10	DLC1	ENSG00000164741.10	cds	prior_unique	LoF	ColoRect-AdenoCA
gc19_pc.cds::gencode::DLG1::ENSG00000075711.16	DLG1	ENSG00000075711.16	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::DNM2::ENSG00000079805.12	DNM2	ENSG00000079805.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::DPYD::ENSG00000188641.8	DPYD	ENSG00000188641.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::DSG3::ENSG00000134757.4	DSG3	ENSG00000134757.4	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::ECT2L::ENSG00000203734.7	ECT2L	ENSG00000203734.7	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::EEF1B2::ENSG00000114942.9	EEF1B2	ENSG00000114942.9	cds	prior_unique	Act	PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::EFTUD2::ENSG00000108883.8	EFTUD2	ENSG00000108883.8	cds	prior_unique	ambiguous	Lung-AdenoCA
gc19_pc.cds::gencode::EIF1AX::ENSG00000173674.6	EIF1AX	ENSG00000173674.6	cds	prior_unique	LoF	PANCANCER;Thy-AdenoCA
gc19_pc.cds::gencode::EIF2AK3::ENSG00000172071.7	EIF2AK3	ENSG00000172071.7	cds	prior_unique	LoF	Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::EIF4A2::ENSG00000156976.10	EIF4A2	ENSG00000156976.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::EIF4G1::ENSG00000114867.15	EIF4G1	ENSG00000114867.15	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::EIF4G3::ENSG00000075151.15	EIF4G3	ENSG00000075151.15	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::ELF1::ENSG00000120690.9	ELF1	ENSG00000120690.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::ELF4::ENSG00000102034.12	ELF4	ENSG00000102034.12	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::EP300::ENSG00000100393.9	EP300	ENSG00000100393.9	cds	prior_unique	LoF	Bladder-TCC;Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Cervix-AdenoCA;Cervix-SCC;ColoRect-AdenoCA;Eso-AdenoCa;Head-SCC;Lymph-CLL;Myeloid-AML;PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::EPAS1::ENSG00000116016.9	EPAS1	ENSG00000116016.9	cds	prior_unique	unknown	PANCANCER
gc19_pc.cds::gencode::EPHA1::ENSG00000146904.4	EPHA1	ENSG00000146904.4	cds	prior_unique	Act	Stomach-AdenoCA
gc19_pc.cds::gencode::EPHA4::ENSG00000116106.7	EPHA4	ENSG00000116106.7	cds	prior_unique	ambiguous	Lung-AdenoCA
gc19_pc.cds::gencode::EPHB2::ENSG00000133216.12	EPHB2	ENSG00000133216.12	cds	prior_unique	Act	Lung-AdenoCA;Prost-AdenoCA
gc19_pc.cds::gencode::ERBB2::ENSG00000141736.9	ERBB2	ENSG00000141736.9	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Cervix-AdenoCA;Cervix-SCC;Lung-AdenoCA;PANCANCER;Ovary-AdenoCA;Panc-AdenoCA
gc19_pc.cds::gencode::ERBB2IP::ENSG00000112851.10	ERBB2IP	ENSG00000112851.10	cds	prior_unique	LoF	Eso-AdenoCa;Lung-SCC;Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::ERBB3::ENSG00000065361.10	ERBB3	ENSG00000065361.10	cds	prior_unique	Act	Bladder-TCC;Cervix-AdenoCA;Cervix-SCC;PANCANCER;Stomach-AdenoCA;Uterus-AdenoCA
gc19_pc.cds::gencode::ERBB4::ENSG00000178568.9	ERBB4	ENSG00000178568.9	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Skin-Melanoma
gc19_pc.cds::gencode::ERCC1::ENSG00000012061.11	ERCC1	ENSG00000012061.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::ERCC2::ENSG00000104884.10	ERCC2	ENSG00000104884.10	cds	prior_unique	LoF	Bladder-TCC;Eso-AdenoCa;Liver-HCC;PANCANCER;Skin-Melanoma
